Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
20180102 3:53 AM,23,9,55,NE,6,0,30.14,0,Cloudy
20180102 4:53 AM,23,10,58,NNE,6,0,30.13,0,Cloudy
20180102 5:53 AM,23,11,60,ENE,6,0,30.11,0,Cloudy
20180102 6:53 AM,23,10,58,NE,6,0,30.11,0,Cloudy
20180102 7:53 AM,23,9,55,ENE,7,0,30.11,0,Cloudy
20180102 8:53 AM,23,8,53,NE,9,18,30.12,0,Cloudy
20180102 9:53 AM,23,7,50,NE,9,0,30.13,0,Cloudy
20180102 10:53 AM,23,7,50,E,8,0,30.13,0,Cloudy
20180102 11:53 AM,25,7,46,ENE,6,0,30.12,0,Cloudy
20180102 12:53 PM,25,6,45,NE,7,0,30.09,0,Cloudy
20180102 1:53 PM,26,6,43,N,8,0,30.05,0,Cloudy
20180102 2:53 PM,26,6,43,NNE,6,21,30.02,0,Cloudy
20180102 3:53 PM,26,4,39,N,8,0,30.01,0,Cloudy
20180102 4:53 PM,26,4,39,NNW,8,0,30,0,Cloudy
20180102 5:53 PM,26,4,39,N,10,0,29.99,0,Cloudy
20180102 6:53 PM,26,4,39,N,12,0,30,0,Cloudy
20180102 7:53 PM,26,5,41,N,8,0,30,0,Cloudy
20180102 8:53 PM,26,6,43,N,12,0,30.01,0,Cloudy
20180102 9:53 PM,26,4,39,N,9,0,30.01,0,Cloudy
20180102 10:53 PM,25,4,41,N,7,0,29.99,0,Cloudy
20180102 11:53 PM,25,3,39,N,6,0,29.99,0,Cloudy
20180102 12:53 AM,23,4,44,NNW,3,0,29.97,0,Cloudy
20180103 1:53 AM,23,6,48,N,3,0,29.96,0,Cloudy
20180103 2:53 AM,22,8,55,WNW,3,0,29.94,0,Cloudy
20180103 3:53 AM,22,8,55,WNW,6,0,29.95,0,Cloudy
20180103 4:53 AM,22,10,60,WNW,5,0,29.94,0,Cloudy
20180103 5:53 AM,22,11,63,WNW,7,0,29.92,0,Cloudy
20180103 6:53 AM,22,11,63,W,6,0,29.91,0,Cloudy
20180103 7:53 AM,22,11,63,SW,3,0,29.91,0,Cloudy
20180103 8:53 AM,22,11,63,WSW,3,0,29.9,0,Cloudy
20180103 9:53 AM,25,12,58,WSW,3,0,29.91,0,Cloudy
20180103 10:53 AM,29,13,51,NW,6,0,29.92,0,Fair
20180103 11:53 AM,35,14,42,WNW,7,0,29.9,0,Fair
20180103 12:53 PM,38,16,41,WNW,8,0,29.88,0,Fair
20180103 1:53 PM,43,15,32,NW,8,0,29.85,0,Fair
20180103 2:53 PM,46,16,30,NW,10,0,29.82,0,Fair
20180103 3:53 PM,47,18,32,NNW,13,0,29.81,0,Fair
20180103 4:53 PM,48,19,32,NNW,9,0,29.8,0,Fair
20180103 5:53 PM,47,19,33,NW,10,0,29.8,0,Fair
20180103 6:53 PM,44,20,38,N,3,0,29.8,0,Partly Cloudy
20180103 7:53 PM,42,20,41,CALM,0,0,29.81,0,Cloudy
20180103 8:53 PM,36,22,57,ENE,3,0,29.8,0,Cloudy
20180103 9:53 PM,37,22,54,CALM,0,0,29.8,0,Fair
20180103 10:53 PM,33,22,64,CALM,0,0,29.8,0,Cloudy
20180103 11:53 PM,33,22,64,CALM,0,0,29.82,0,Cloudy
20180103 12:53 AM,30,22,72,CALM,0,0,29.82,0,Cloudy
20180104 1:53 AM,29,23,78,E,3,0,29.82,0,Cloudy
20180104 2:53 AM,29,22,75,ENE,5,0,29.82,0,Cloudy
20180104 3:53 AM,29,21,72,E,3,0,29.83,0,Cloudy
20180104 4:53 AM,29,21,72,CALM,0,0,29.82,0,Cloudy
20180104 5:53 AM,27,20,75,WNW,3,0,29.84,0,Cloudy
20180104 6:53 AM,27,21,78,ENE,7,0,29.84,0,Mostly Cloudy
20180104 7:53 AM,28,21,75,ENE,5,0,29.84,0,Cloudy
20180104 8:53 AM,30,21,69,CALM,0,0,29.86,0,Cloudy
20180104 9:53 AM,34,23,64,CALM,0,0,29.86,0,Cloudy
20180104 10:53 AM,39,21,49,CALM,0,0,29.88,0,Partly Cloudy
20180104 11:53 AM,42,17,37,ENE,5,0,29.88,0,Fair
20180104 12:53 PM,46,18,33,E,5,0,29.86,0,Mostly Cloudy
20180104 1:53 PM,47,17,30,NE,7,0,29.83,0,Mostly Cloudy
20180104 2:53 PM,49,17,28,WNW,3,0,29.81,0,Fair
20180104 3:53 PM,50,17,27,CALM,0,0,29.8,0,Mostly Cloudy
20180104 4:53 PM,48,17,29,CALM,0,0,29.79,0,Cloudy
20180104 5:53 PM,48,17,29,ESE,6,0,29.78,0,Cloudy
20180104 6:53 PM,46,18,33,ESE,6,0,29.78,0,Cloudy
20180104 7:53 PM,44,19,37,E,6,0,29.8,0,Cloudy
20180104 8:53 PM,41,20,43,CALM,0,0,29.8,0,Mostly Cloudy
20180104 9:53 PM,39,20,46,SE,5,0,29.8,0,Mostly Cloudy
20180104 10:53 PM,40,21,47,SSE,6,0,29.8,0,Cloudy
20180104 11:53 PM,37,22,54,SE,5,0,29.81,0,Cloudy
20180104 12:53 AM,38,21,51,SE,3,0,29.81,0,Cloudy
20180105 1:53 AM,36,21,55,ESE,5,0,29.8,0,Cloudy
20180105 2:53 AM,35,21,57,ESE,5,0,29.8,0,Cloudy
20180105 3:53 AM,35,21,57,SE,7,0,29.8,0,Cloudy
20180105 4:53 AM,38,20,48,S,6,0,29.8,0,Cloudy
20180105 5:53 AM,35,21,57,S,3,0,29.79,0,Cloudy
20180105 6:53 AM,34,21,59,S,5,0,29.79,0,Cloudy
20180105 7:53 AM,35,21,57,S,3,0,29.8,0,Fair
20180105 8:53 AM,35,21,57,CALM,0,0,29.8,0,Fair
20180105 9:53 AM,42,25,51,CALM,0,0,29.82,0,Fair
20180105 10:53 AM,45,26,48,SW,5,0,29.84,0,Fair
20180105 11:53 AM,51,24,35,SW,9,0,29.84,0,Fair
20180105 12:53 PM,54,26,34,SSW,8,0,29.81,0,Fair
20180105 1:53 PM,58,27,31,S,7,0,29.76,0,Fair
20180105 2:53 PM,61,27,27,VAR,7,0,29.73,0,Fair
20180105 3:53 PM,62,26,25,VAR,7,0,29.71,0,Fair
20180105 4:53 PM,62,26,25,SW,9,0,29.7,0,Fair
20180105 5:53 PM,61,27,27,SSW,8,0,29.69,0,Fair
20180105 6:53 PM,57,28,33,S,7,0,29.7,0,Partly Cloudy
20180105 7:53 PM,54,28,37,S,7,0,29.73,0,Cloudy
20180105 8:53 PM,54,28,37,SSE,9,0,29.74,0,Mostly Cloudy
20180105 9:53 PM,50,28,43,S,9,0,29.76,0,Mostly Cloudy
20180105 10:53 PM,51,28,41,S,10,0,29.75,0,Partly Cloudy
20180105 11:53 PM,50,28,43,SSE,9,0,29.76,0,Partly Cloudy
20180105 12:53 AM,46,29,51,SSE,7,0,29.76,0,Partly Cloudy
20180106 1:53 AM,45,28,52,S,8,0,29.76,0,Partly Cloudy
20180106 2:53 AM,42,28,58,SSE,7,0,29.76,0,Fair
20180106 3:53 AM,43,30,60,ESE,8,0,29.76,0,Fair
20180106 4:53 AM,38,30,73,SE,9,0,29.77,0,Fair
20180106 5:53 AM,39,30,70,SE,8,0,29.78,0,Fair
20180106 6:53 AM,37,30,76,SE,8,0,29.78,0,Fair
20180106 7:53 AM,38,31,76,SE,9,0,29.78,0,Fair
20180106 8:53 AM,37,31,79,SE,8,0,29.79,0,Fair
20180106 9:53 AM,42,34,73,SE,8,0,29.81,0,Fair
20180106 10:53 AM,46,36,68,SSE,8,0,29.84,0,Fair
20180106 11:53 AM,52,39,61,SE,8,0,29.84,0,Fair
20180106 12:53 PM,57,43,59,S,12,0,29.8,0,Fair
20180106 1:53 PM,59,44,58,S,13,0,29.76,0,Partly Cloudy
20180106 2:53 PM,62,44,52,S,13,0,29.73,0,Partly Cloudy
20180106 3:53 PM,63,44,50,SSE,9,0,29.71,0,Mostly Cloudy
20180106 4:53 PM,63,44,50,SSE,15,0,29.7,0,Mostly Cloudy
20180106 5:53 PM,61,43,52,S,14,0,29.69,0,Partly Cloudy
20180106 6:53 PM,60,42,51,S,14,0,29.69,0,Mostly Cloudy
20180106 7:53 PM,58,43,58,SE,13,0,29.69,0,Cloudy
20180106 8:53 PM,58,41,53,SE,17,0,29.68,0,Cloudy
20180106 9:53 PM,57,38,49,SE,16,0,29.67,0,Cloudy
20180106 10:53 PM,56,35,45,SE,16,0,29.65,0,Cloudy
20180106 11:53 PM,56,34,44,SSE,20,0,29.64,0,Cloudy
20180106 12:53 AM,55,35,47,SSE,17,0,29.62,0,Cloudy
20180107 1:53 AM,55,36,49,SSE,16,0,29.61,0,Cloudy
20180107 2:53 AM,54,39,57,SSE,14,22,29.59,0,Cloudy
20180107 3:53 AM,53,42,66,SSE,13,23,29.59,0,Cloudy
20180107 4:53 AM,53,43,69,SSE,17,24,29.57,0,Cloudy
20180107 5:53 AM,53,43,69,SSE,16,0,29.56,0,Cloudy
20180107 6:53 AM,52,42,69,SSE,15,22,29.53,0,Cloudy
20180107 7:53 AM,51,41,68,S,13,0,29.53,0,Cloudy
20180107 8:53 AM,51,41,68,SSE,13,0,29.52,0,Cloudy
20180107 9:53 AM,51,43,74,SSE,16,23,29.52,0,Cloudy
20180107 10:53 AM,53,45,74,S,16,29,29.48,0,Cloudy
20180107 11:53 AM,54,47,77,S,15,23,29.47,0,Cloudy
20180107 12:53 PM,56,49,77,S,12,0,29.43,0,Cloudy
20180107 1:53 PM,58,51,78,S,12,0,29.38,0,Cloudy
20180107 2:53 PM,61,53,75,S,14,22,29.35,0,Cloudy
20180107 3:53 PM,61,54,78,S,13,0,29.35,0,Cloudy
20180107 4:53 PM,60,55,83,S,9,0,29.35,0,Light Rain
20180107 5:53 PM,60,56,86,SSE,9,0,29.36,0,Light Rain
20180107 6:53 PM,58,56,93,SSE,6,0,29.37,0.1,Light Rain
20180107 7:53 PM,59,57,93,S,3,0,29.36,0,Light Rain with Thunder
20180107 8:53 PM,58,57,97,VAR,3,0,29.37,0.1,Thunder
20180107 9:53 PM,58,56,93,CALM,0,0,29.37,0,Partly Cloudy
20180107 10:53 PM,57,55,93,NW,9,0,29.39,0,Mostly Cloudy
20180107 11:53 PM,55,53,93,NNW,16,0,29.42,0,Partly Cloudy
20180107 12:53 AM,54,51,90,NNW,13,0,29.46,0,Fair
20180108 1:53 AM,53,50,89,NNW,13,0,29.48,0,Cloudy
20180108 2:53 AM,51,48,89,NNW,10,0,29.49,0,Cloudy
20180108 3:53 AM,48,46,93,NW,13,0,29.52,0,Partly Cloudy
20180108 4:53 AM,47,43,86,N,12,0,29.54,0,Fair
20180108 5:53 AM,45,41,86,NNW,8,0,29.55,0,Fair
20180108 6:53 AM,44,39,82,NNW,9,0,29.59,0,Fair
20180108 7:53 AM,43,38,82,NNW,9,0,29.59,0,Fair
20180108 8:53 AM,43,38,82,NW,8,0,29.62,0,Fair
20180108 9:53 AM,44,37,76,NNW,12,0,29.66,0,Fair
20180108 10:53 AM,48,38,68,N,13,0,29.65,0,Fair
20180108 11:53 AM,51,38,61,N,13,26,29.66,0,Fair
20180108 12:53 PM,54,39,57,N,15,0,29.63,0,Fair
20180108 1:53 PM,56,39,53,N,14,24,29.62,0,Fair
20180108 2:53 PM,56,39,53,NW,10,0,29.6,0,Fair
20180108 3:53 PM,58,39,49,NNW,10,0,29.6,0,Fair
20180108 4:53 PM,59,39,48,N,13,0,29.6,0,Fair
20180108 5:53 PM,58,39,49,NNW,12,0,29.61,0,Fair
20180108 6:53 PM,54,39,57,NNW,6,0,29.62,0,Fair
20180108 7:53 PM,53,39,59,NNW,5,0,29.62,0,Fair
20180108 8:53 PM,50,40,68,NNE,5,0,29.62,0,Fair
20180108 9:53 PM,50,40,68,N,6,0,29.63,0,Fair
20180108 10:53 PM,46,39,76,NE,3,0,29.63,0,Fair
20180108 11:53 PM,45,39,80,CALM,0,0,29.64,0,Cloudy
20180108 12:53 AM,42,38,85,CALM,0,0,29.64,0,Cloudy
20180109 1:53 AM,42,38,85,CALM,0,0,29.64,0,Fair
20180109 2:53 AM,40,37,89,CALM,0,0,29.64,0,Cloudy
20180109 3:53 AM,42,37,82,CALM,0,0,29.63,0,Cloudy
20180109 4:53 AM,41,37,86,CALM,0,0,29.63,0,Cloudy
20180109 5:53 AM,40,37,89,E,5,0,29.62,0,Cloudy
20180109 6:53 AM,42,39,89,ESE,6,0,29.62,0,Cloudy
20180109 7:53 AM,42,40,92,ESE,9,0,29.62,0,Cloudy
20180109 8:53 AM,41,41,100,SE,9,0,29.63,0,Fog
20180109 9:53 AM,42,42,100,SE,6,0,29.64,0,Fog
20180109 10:53 AM,42,42,100,ESE,8,0,29.63,0,Fog
20180109 11:53 AM,43,43,100,SSW,6,0,29.65,0,Fog
20180109 12:53 PM,44,42,93,SSE,6,0,29.62,0,Fog
20180109 1:53 PM,47,43,86,SE,9,0,29.58,0,Cloudy
20180109 2:53 PM,47,42,83,ESE,9,0,29.54,0,Haze
20180109 3:53 PM,49,43,80,SE,14,0,29.51,0,Haze
20180109 4:53 PM,49,43,80,SE,15,0,29.5,0,Mostly Cloudy
20180109 5:53 PM,49,42,77,SE,13,0,29.51,0,Mostly Cloudy
20180109 6:53 PM,47,42,83,ESE,12,0,29.51,0,Cloudy
20180109 7:53 PM,46,42,86,SE,16,0,29.5,0,Cloudy
20180109 8:53 PM,46,42,86,SE,17,0,29.5,0,Cloudy
20180109 9:53 PM,46,43,89,SE,15,0,29.5,0,Cloudy
20180109 10:53 PM,46,43,89,SE,17,0,29.5,0,Cloudy
20180109 11:53 PM,46,43,89,SE,13,0,29.49,0,Cloudy
20180109 12:53 AM,46,43,89,SSE,9,0,29.48,0,Cloudy
20180110 1:53 AM,46,44,93,SSE,14,0,29.47,0,Cloudy
20180110 2:53 AM,46,44,93,SSE,13,0,29.46,0,Cloudy
20180110 3:53 AM,47,44,90,S,13,0,29.45,0,Cloudy
20180110 4:53 AM,46,44,93,S,13,0,29.45,0,Cloudy
20180110 5:53 AM,46,44,93,S,13,0,29.44,0,Cloudy
20180110 6:53 AM,47,45,93,SSE,12,0,29.44,0,Cloudy
20180110 7:53 AM,47,45,93,SSE,15,0,29.44,0,Cloudy
20180110 8:53 AM,47,45,93,S,16,25,29.44,0,Cloudy
20180110 9:53 AM,48,45,89,S,17,24,29.44,0,Cloudy
20180110 10:53 AM,49,45,86,SSE,18,0,29.43,0,Cloudy
20180110 11:53 AM,50,46,86,S,15,0,29.43,0,Cloudy
20180110 12:53 PM,52,45,77,S,21,0,29.4,0,Haze / Windy
20180110 1:53 PM,52,45,77,S,16,0,29.35,0,Haze
20180110 2:53 PM,53,46,77,SSE,14,0,29.29,0,Cloudy
20180110 3:53 PM,56,47,72,SSE,15,0,29.24,0,Mostly Cloudy
20180110 4:53 PM,58,48,70,SSE,17,0,29.24,0,Mostly Cloudy
20180110 5:53 PM,58,47,67,SE,17,25,29.2,0,Partly Cloudy
20180110 6:53 PM,56,48,75,SE,15,0,29.18,0,Partly Cloudy
20180110 7:53 PM,54,49,83,SE,16,0,29.19,0,Fair
20180110 8:53 PM,54,50,86,SE,15,0,29.21,0,Partly Cloudy
20180110 9:53 PM,55,51,86,SE,18,0,29.2,0,Partly Cloudy
20180110 10:53 PM,56,52,87,SSE,13,0,29.22,0,Mostly Cloudy
20180110 11:53 PM,55,52,89,SSE,15,0,29.21,0,Fair
20180110 12:53 AM,55,52,89,S,15,0,29.19,0,Fair
20180111 1:53 AM,56,53,90,S,20,0,29.17,0,Partly Cloudy
20180111 2:53 AM,57,54,89,S,15,0,29.17,0,Mostly Cloudy
20180111 3:53 AM,57,54,89,S,13,0,29.17,0,Mostly Cloudy
20180111 4:53 AM,55,53,93,S,9,0,29.16,0,Fair
20180111 5:53 AM,55,52,89,S,9,0,29.16,0,Fair
20180111 6:53 AM,55,53,93,S,10,0,29.17,0,Fair
20180111 7:53 AM,55,53,93,S,12,0,29.17,0,Partly Cloudy
20180111 8:53 AM,58,56,93,SSW,5,0,29.19,0,Mostly Cloudy
20180111 9:53 AM,59,55,87,SSW,8,0,29.22,0,Mostly Cloudy
20180111 10:53 AM,59,54,83,SW,10,18,29.25,0,Mostly Cloudy
20180111 11:53 AM,56,40,55,WNW,23,32,29.29,0,Mostly Cloudy / Windy
20180111 12:53 PM,51,38,61,WNW,21,31,29.33,0,Mostly Cloudy / Windy
20180111 1:53 PM,47,34,61,WNW,23,37,29.34,0,Mostly Cloudy / Windy
20180111 2:53 PM,43,30,60,NW,26,39,29.37,0,Cloudy / Windy
20180111 3:53 PM,40,28,63,NW,26,39,29.42,0,Cloudy / Windy
20180111 4:53 PM,39,25,57,NNW,30,43,29.46,0,Cloudy / Windy
20180111 5:53 PM,37,24,59,NW,22,40,29.48,0,Cloudy / Windy
20180111 6:53 PM,36,23,59,NNW,22,37,29.55,0,Mostly Cloudy / Windy
20180111 7:53 PM,36,21,55,NNW,21,30,29.59,0,Cloudy / Windy
20180111 8:53 PM,36,18,48,NNW,20,28,29.6,0,Cloudy
20180111 9:53 PM,34,17,50,NW,18,31,29.63,0,Fair
20180111 10:53 PM,33,16,50,NNW,23,31,29.65,0,Fair / Windy
20180111 11:53 PM,32,15,50,NNW,22,33,29.67,0,Fair / Windy
20180111 12:53 AM,31,14,50,NNW,20,33,29.69,0,Fair
20180112 1:53 AM,29,13,51,NNW,22,33,29.7,0,Fair / Windy
20180112 2:53 AM,28,13,53,NNW,21,25,29.7,0,Fair / Windy
20180112 3:53 AM,26,13,58,NNW,16,0,29.71,0,Fair
20180112 4:53 AM,26,12,55,NW,20,26,29.73,0,Fair
20180112 5:53 AM,25,12,58,NNW,15,24,29.73,0,Fair
20180112 6:53 AM,25,11,55,NNW,16,24,29.75,0,Fair
20180112 7:53 AM,24,11,57,NNW,17,0,29.76,0,Fair
20180112 8:53 AM,24,10,55,NW,17,25,29.79,0,Fair
20180112 9:53 AM,26,11,53,NNW,18,25,29.82,0,Fair
20180112 10:53 AM,28,12,51,NW,17,26,29.83,0,Fair
20180112 11:53 AM,31,12,46,NNW,14,0,29.85,0,Fair
20180112 12:53 PM,34,13,42,N,13,0,29.82,0,Fair
20180112 1:53 PM,37,14,39,NNW,14,0,29.78,0,Fair
20180112 2:53 PM,40,15,36,NNW,12,0,29.75,0,Fair
20180112 3:53 PM,42,14,32,NNW,13,0,29.74,0,Fair
20180112 4:53 PM,43,15,32,NNW,13,0,29.74,0,Fair
20180112 5:53 PM,42,15,34,NW,12,0,29.76,0,Fair
20180112 6:53 PM,40,15,36,NNW,8,0,29.77,0,Fair
20180112 7:53 PM,39,15,38,NNE,8,0,29.79,0,Fair
20180112 8:53 PM,39,14,36,NNE,8,0,29.81,0,Fair
20180112 9:53 PM,38,14,38,VAR,6,0,29.85,0,Partly Cloudy
20180112 10:53 PM,36,13,39,NE,8,0,29.88,0,Partly Cloudy
20180112 11:53 PM,35,12,39,NNE,9,0,29.91,0,Partly Cloudy
20180112 12:53 AM,34,12,40,NNE,12,0,29.93,0,Fair
20180113 1:53 AM,33,11,40,N,8,0,29.93,0,Fair
20180113 2:53 AM,32,11,42,N,9,0,29.94,0,Fair
20180113 3:53 AM,29,15,56,NNW,8,0,29.97,0,Fair
20180113 4:53 AM,28,13,53,NNW,9,0,29.98,0,Fair
20180113 5:53 AM,28,14,56,N,9,0,30,0,Partly Cloudy
20180113 6:53 AM,28,14,56,N,9,0,30.02,0,Partly Cloudy
20180113 7:53 AM,28,14,56,N,12,0,30.05,0,Partly Cloudy
20180113 8:53 AM,29,13,51,N,8,0,30.07,0,Partly Cloudy
20180113 9:53 AM,32,13,45,N,14,0,30.09,0,Fair
20180113 10:53 AM,34,13,42,N,14,0,30.12,0,Fair
20180113 11:53 AM,37,12,36,N,13,0,30.13,0,Fair
20180113 12:53 PM,40,11,31,N,12,0,30.11,0,Mostly Cloudy
20180113 1:53 PM,42,13,31,NW,8,17,30.07,0,Fair
20180113 2:53 PM,43,13,30,WNW,8,0,30.04,0,Fair
20180113 3:53 PM,45,13,27,N,12,0,30.02,0,Fair
20180113 4:53 PM,46,12,25,NNW,8,0,30.01,0,Fair
20180113 5:53 PM,45,11,25,VAR,5,0,30.01,0,Fair
20180113 6:53 PM,41,12,31,NE,5,0,30,0,Fair
20180113 7:53 PM,40,14,35,CALM,0,0,30.01,0,Fair
20180113 8:53 PM,36,19,50,E,7,0,30,0,Fair
20180113 9:53 PM,37,17,44,E,5,0,30,0,Fair
20180113 10:53 PM,37,17,44,E,6,0,30,0,Fair
20180113 11:53 PM,37,17,44,E,7,0,30.01,0,Cloudy
20180113 12:53 AM,36,18,48,ESE,8,0,30.01,0,Cloudy
20180114 1:53 AM,35,18,50,SE,8,0,30,0,Cloudy
20180114 2:53 AM,33,17,52,SE,9,0,29.97,0,Cloudy
20180114 3:53 AM,33,16,50,ESE,6,0,29.98,0,Fair
20180114 4:53 AM,31,17,57,SE,8,0,29.99,0,Fair
20180114 5:53 AM,33,17,52,SE,10,0,29.97,0,Partly Cloudy
20180114 6:53 AM,32,18,56,ESE,8,0,29.98,0,Cloudy
20180114 7:53 AM,32,18,56,SE,10,0,30,0,Mostly Cloudy
20180114 8:53 AM,32,18,56,SE,10,0,30,0,Partly Cloudy
20180114 9:53 AM,35,20,54,SE,10,0,30.02,0,Partly Cloudy
20180114 10:53 AM,38,21,51,SSE,12,0,30.02,0,Partly Cloudy
20180114 11:53 AM,42,21,43,SSE,12,0,30.03,0,Fair
20180114 12:53 PM,46,22,39,S,10,0,29.99,0,Fair
20180114 1:53 PM,49,21,33,SSW,8,0,29.94,0,Partly Cloudy
20180114 2:53 PM,52,22,31,S,14,0,29.89,0,Mostly Cloudy
20180114 3:53 PM,54,22,29,S,14,0,29.85,0,Mostly Cloudy
20180114 4:53 PM,55,22,28,SW,9,0,29.84,0,Partly Cloudy
20180114 5:53 PM,54,22,29,SSW,10,0,29.83,0,Fair
20180114 6:53 PM,53,23,31,SSW,7,0,29.83,0,Fair
20180114 7:53 PM,49,23,36,S,7,0,29.84,0,Fair
20180114 8:53 PM,46,24,42,SSE,5,0,29.84,0,Fair
20180114 9:53 PM,46,24,42,S,8,0,29.83,0,Fair
20180114 10:53 PM,45,25,46,S,8,0,29.83,0,Fair
20180114 11:53 PM,45,26,48,S,10,0,29.82,0,Fair
20180114 12:53 AM,43,26,51,S,8,0,29.8,0,Fair
20180115 1:53 AM,43,28,56,S,7,0,29.78,0,Fair
20180115 2:53 AM,43,31,62,S,9,0,29.77,0,Fair
20180115 3:53 AM,39,30,70,SSE,8,0,29.77,0,Fair
20180115 4:53 AM,38,29,70,ESE,8,0,29.76,0,Fair
20180115 5:53 AM,37,29,73,ESE,7,0,29.76,0,Fair
20180115 6:53 AM,36,30,79,SE,8,0,29.76,0,Fair
20180115 7:53 AM,37,32,82,SSE,9,0,29.76,0,Fair
20180115 8:53 AM,38,34,86,SE,8,0,29.78,0,Fair
20180115 9:53 AM,41,37,86,S,7,0,29.78,0,Fair
20180115 10:53 AM,47,40,77,S,6,0,29.8,0,Fair
20180115 11:53 AM,55,44,67,VAR,5,0,29.8,0,Fair
20180115 12:53 PM,56,45,67,SSW,12,17,29.78,0,Fair
20180115 1:53 PM,53,45,74,SSW,8,0,29.76,0,Mostly Cloudy
20180115 2:53 PM,55,46,72,WNW,7,0,29.74,0,Cloudy
20180115 3:53 PM,55,46,72,W,6,0,29.75,0,Cloudy
20180115 4:53 PM,51,36,56,NNE,16,0,29.77,0,Cloudy
20180115 5:53 PM,48,29,48,NNE,23,30,29.8,0,Cloudy / Windy
20180115 6:53 PM,44,30,58,NNE,21,25,29.83,0,Cloudy / Windy
20180115 7:53 PM,40,26,58,N,28,35,29.9,0,Cloudy / Windy
20180115 8:53 PM,36,26,67,N,23,39,29.95,0,Wintry Mix / Windy
20180115 9:53 PM,35,21,57,NNE,20,26,30,0,Cloudy
20180115 10:53 PM,32,18,56,N,22,35,30.03,0,Light Snow and Sleet / Windy
20180115 11:53 PM,31,17,57,N,22,29,30.08,0,Light Snow and Sleet / Windy
20180115 12:53 AM,29,13,51,N,17,26,30.11,0,Light Snow
20180116 1:53 AM,28,13,53,N,18,0,30.13,0,Cloudy
20180116 2:53 AM,26,10,51,N,23,29,30.15,0,Cloudy / Windy
20180116 3:53 AM,24,5,44,N,22,31,30.17,0,Cloudy / Windy
20180116 4:53 AM,24,5,44,N,15,0,30.18,0,Cloudy
20180116 5:53 AM,23,5,46,N,20,30,30.19,0,Light Snow
20180116 6:53 AM,22,5,48,N,17,25,30.21,0,Cloudy
20180116 7:53 AM,22,5,48,N,18,29,30.24,0,Cloudy
20180116 8:53 AM,21,5,50,N,17,24,30.25,0,Cloudy
20180116 9:53 AM,19,4,52,N,22,28,30.29,0,Cloudy / Windy
20180116 10:53 AM,20,2,46,N,17,25,30.31,0,Cloudy
20180116 11:53 AM,22,2,42,N,16,23,30.31,0,Fair
20180116 12:53 PM,21,1,42,N,18,24,30.28,0,Fair
20180116 1:53 PM,25,2,37,NNW,15,26,30.24,0,Fair
20180116 2:53 PM,27,2,34,N,18,24,30.2,0,Fair
20180116 3:53 PM,28,3,34,NNW,13,0,30.18,0,Fair
20180116 4:53 PM,29,2,32,N,16,25,30.17,0,Fair
20180116 5:53 PM,29,2,32,NNW,13,25,30.16,0,Partly Cloudy
20180116 6:53 PM,27,1,33,N,15,0,30.17,0,Fair
20180116 7:53 PM,26,1,34,N,14,0,30.18,0,Fair
20180116 8:53 PM,24,1,37,N,12,0,30.21,0,Fair
20180116 9:53 PM,23,1,39,N,12,0,30.22,0,Fair
20180116 10:53 PM,22,2,42,N,6,0,30.23,0,Fair
20180116 11:53 PM,20,1,44,NNE,6,0,30.24,0,Fair
